Old IRI|New IRI
http://www.fairsharing.org/ontology/SRAO_0000037|http://purl.obolibrary.org/obo/NCIT_C39794
http://purl.obolibrary.org/obo/OMIT_0026014|http://purl.obolibrary.org/obo/NCIT_C153192
http://www.fairsharing.org/ontology/SRAO_0000087|http://aims.fao.org/aos/agrovoc/c_49985
http://www.fairsharing.org/ontology/SRAO_0000162|http://purl.obolibrary.org/obo/OMIT_0011790
http://www.fairsharing.org/ontology/SRAO_0000150|http://aims.fao.org/aos/agrovoc/c_16379
http://purl.obolibrary.org/obo/OMIT_0003951|http://purl.obolibrary.org/obo/NCIT_C16419
http://www.fairsharing.org/ontology/SRAO_0000118|http://purl.obolibrary.org/obo/NCIT_C16902
http://www.fairsharing.org/ontology/SRAO_0000059|http://aims.fao.org/aos/agrovoc/c_6347
http://www.fairsharing.org/ontology/SRAO_0000193|http://aims.fao.org/aos/agrovoc/c_694
http://www.fairsharing.org/ontology/SRAO_0000249|http://purl.obolibrary.org/obo/NCIT_C19349
http://www.fairsharing.org/ontology/SRAO_0000291|http://purl.obolibrary.org/obo/OMIT_0019137
http://www.fairsharing.org/ontology/SRAO_0000179|http://purl.obolibrary.org/obo/NCIT_C18948
